segment_id,road,road_canonical,highway,km,mid_lon,mid_lat,czones,crashes_total,crashes_fatal,wl_points,wl_events,cv_images,cv_detections,cv_damage_per_frame,n_sources
unnamed_203599270_0,unnamed,unnamed,primary,0.258,77.080844,28.593607,,,,,,8,2,0.25,1
bawana-road_204980192_0,Bawana road,Bawana road,primary,1.033,77.055575,28.763914,,,,,,0,,,0
bawana-road_204980192_1,Bawana road,Bawana road,primary,0.161,77.049963,28.767269,,,,,,0,,,0
delhi-gurugram-expressway_205771483_0,Delhi-Gurugram Expressway,Delhi-Gurugram Expressway,motorway,1.049,77.134833,28.570753,,,,,,8,1,0.125,1
delhi-gurugram-expressway_205771483_1,Delhi-Gurugram Expressway,Delhi-Gurugram Expressway,motorway,0.433,77.143074,28.575568,,,,,,8,0,0.0,1
mahipalpur-flyover_205771485_0,Mahipalpur Flyover,Mahipalpur Flyover,motorway,1.127,77.123027,28.545913,,,,,,8,0,0.0,1
mahipalpur-flyover_205771485_1,Mahipalpur Flyover,Mahipalpur Flyover,motorway,0.605,77.118629,28.54322,,,,,,7,0,0.0,1
bawana-auchandi-border-road_206138925_0,Bawana - Auchandi Border Road,Bawana - Auchandi Border Road,primary,0.544,76.994485,28.821952,,,,,,0,,,0
delhi-dehradun-expressway_211144686_0,Delhi-Dehradun Expressway,Delhi-Dehradun Expressway,motorway,0.66,77.274345,28.626061,,,,,,0,,,0
delhi-dehradun-expressway_211144687_0,Delhi-Dehradun Expressway,Delhi-Dehradun Expressway,motorway,0.224,77.277296,28.622056,,,,,,0,,,0
delhi-dehradun-expressway_211144688_0,Delhi-Dehradun Expressway,Delhi-Dehradun Expressway,motorway,0.222,77.278605,28.620383,,,,,,0,,,0
noida-link-road_211144689_0,Noida Link Road,Noida Link Road,trunk,0.311,77.280764,28.616954,,,,,,0,,,0
mayur-vihar-phase1-flyover_211191570_0,Mayur Vihar Phase1 Flyover,Mayur Vihar Phase1 Flyover,trunk,0.415,77.29015,28.601257,,,,,,0,,,0
mayur-vihar-phase1-flyover_211191571_0,Mayur Vihar Phase1 Flyover,Mayur Vihar Phase1 Flyover,trunk,0.252,77.287473,28.606555,,,,1,1,0,,,1
mayur-vihar-phase1-flyover_211191572_0,Mayur Vihar Phase1 Flyover,Mayur Vihar Phase1 Flyover,trunk,0.278,77.291119,28.599376,,,,,,0,,,0
mayur-vihar-flyover_211191574_0,Mayur Vihar Flyover,Mayur Vihar Flyover,trunk,0.2,77.298127,28.586716,,,,,,0,,,0
mayur-vihar-flyover_211191575_0,Mayur Vihar Flyover,Mayur Vihar Flyover,trunk,0.782,77.295829,28.590424,,,,,,0,,,0
mayur-vihar-flyover_211191576_0,Mayur Vihar Flyover,Mayur Vihar Flyover,trunk,0.204,77.293056,28.595151,,,,,,0,,,0
dadri-road_211191577_0,Dadri Road,Dadri Road,trunk,0.347,77.292556,28.596516,,,,,,0,,,0
mayur-vihar-phase1-flyover_211191580_0,Mayur Vihar Phase1 Flyover,Mayur Vihar Phase1 Flyover,trunk,0.309,77.287562,28.606012,,,,,,0,,,0
unnamed_211191581_0,unnamed,unnamed,primary,1.046,77.296523,28.589765,,,,,,0,,,0
unnamed_211191581_1,unnamed,unnamed,primary,0.23,77.298343,28.586627,,,,,,0,,,0
urban-extension-road-ii_220711849_0,Urban Extension Road-II,Urban Extension Road-II,trunk,0.909,76.997777,28.620552,,,,,,0,,,0
urban-extension-road-ii_220711851_0,Urban Extension Road-II,Urban Extension Road-II,trunk,0.617,76.994403,28.640957,,,,,,0,,,0
delhi-gurugram-expressway_225718656_0,Delhi-Gurugram Expressway,Delhi-Gurugram Expressway,motorway,0.179,77.092857,28.51328,,,,,,0,,,0
grand-trunk-road_228423376_0,Grand Trunk Road,Grand Trunk Road,trunk,0.962,77.128075,28.839526,,,,,,0,,,0
bahadurgarh-bypass_239364420_0,Bahadurgarh Bypass,Bahadurgarh Bypass,trunk,0.083,76.939411,28.670391,,,,,,0,,,0
rohtak-road_239364440_0,Rohtak Road,Rohtak Road,trunk,1.078,76.965112,28.687967,,,,1,2,0,,,1
rohtak-road_239364440_1,Rohtak Road,Rohtak Road,trunk,1.006,76.979461,28.686712,,,,,,0,,,0
rohtak-road_239364440_2,Rohtak Road,Rohtak Road,trunk,1.029,76.989409,28.68584,,,,,,0,,,0
rohtak-road_239364440_3,Rohtak Road,Rohtak Road,trunk,0.074,76.994652,28.685376,,,,,,0,,,0
road-number-57_243056161_0,Road Number 57,Road Number 57,primary,1.014,77.289226,28.659061,,,,1,2,0,,,1
road-number-57_243056161_1,Road Number 57,Road Number 57,primary,0.267,77.292522,28.653432,,,,,,0,,,0
karkari-mor-flyover_243056163_0,Karkari Mor Flyover,Karkari Mor Flyover,primary,0.028,77.296171,28.647116,,,,,,0,,,0
anuvrat-marg_256583522_0,Anuvrat Marg,Anuvrat Marg,trunk,0.77,77.179508,28.509455,,,,,,0,,,0
acharya-shri-tulsi-marg_256583524_0,Acharya Shri Tulsi Marg,Acharya Shri Tulsi Marg,trunk,0.304,77.175905,28.50695,,,,,,0,,,0
mathura-road_258237309_0,Mathura Road,Mathura Road,trunk,1.002,77.293444,28.522754,,,,1,2,3,0,0.0,2
mathura-road_258237309_1,Mathura Road,Mathura Road,trunk,0.866,77.297317,28.514148,,,,,,6,0,0.0,1
okhla-estate-marg-flyover_258237311_0,Okhla Estate Marg Flyover,Okhla Estate Marg Flyover,trunk,0.031,77.283311,28.538542,,,,,,0,,,0
mathura-road_258237313_0,Mathura Road,Mathura Road,trunk,1.063,77.281361,28.541207,,,,,,0,,,0
mathura-road_258237313_1,Mathura Road,Mathura Road,trunk,1.193,77.273793,28.551498,,,,,,0,,,0
mathura-road_258237313_2,Mathura Road,Mathura Road,trunk,0.62,77.269203,28.557672,,,,,,0,,,0
dabri-mor-flyover_258900791_0,Dabri Mor Flyover,Dabri Mor Flyover,primary,0.51,77.085429,28.614053,,,,,,0,,,0
dabri-mor-flyover_258901182_0,Dabri Mor Flyover,Dabri Mor Flyover,primary,0.803,77.090777,28.611796,,,,,,0,,,0
dabri-mor-flyover_258902098_0,Dabri Mor Flyover,Dabri Mor Flyover,primary,0.095,77.082991,28.615171,,,,,,0,,,0
dabri-mor-flyover_258902099_0,Dabri Mor Flyover,Dabri Mor Flyover,primary,0.203,77.092776,28.610931,,,,,,0,,,0
dabri-mor-flyover_258902101_0,Dabri Mor Flyover,Dabri Mor Flyover,primary,0.205,77.08941,28.612298,,,,,,0,,,0
dabri-mor-flyover_258902102_0,Dabri Mor Flyover,Dabri Mor Flyover,primary,0.071,77.083908,28.614858,1,7,4,,,0,,,1
nangloi-road_259022070_0,Nangloi road,Nangloi road,primary,1.054,77.053247,28.664924,,,,,,0,,,0
nangloi-road_259022070_1,Nangloi road,Nangloi road,primary,1.021,77.059969,28.673328,,,,,,0,,,0
nangloi-road_259022070_2,Nangloi road,Nangloi road,primary,0.021,77.062913,28.676597,,,,,,0,,,0
nangloi-road_259022071_0,Nangloi road,Nangloi road,primary,0.018,77.049426,28.66214,,,,,,0,,,0
nangloi-road_259022074_0,Nangloi road,Nangloi road,primary,1.015,77.026242,28.648879,,,,,,0,,,0
nangloi-road_259022074_1,Nangloi road,Nangloi road,primary,1.056,77.016445,28.643515,,,,,,0,,,0
nangloi-road_259022074_2,Nangloi road,Nangloi road,primary,0.48,77.010834,28.640477,,,,,,0,,,0
outer-ring-road_263456933_0,Outer Ring Road,Outer Ring Road,primary,1.05,77.082445,28.641013,5,38,21,,,0,,,1
outer-ring-road_263456933_1,Outer Ring Road,Outer Ring Road,primary,1.003,77.085126,28.648903,,,,,,0,,,0
outer-ring-road_263456933_2,Outer Ring Road,Outer Ring Road,primary,0.952,77.090745,28.657717,,,,,,0,,,0
nh48_264711057_0,NH48,NH48,trunk,0.158,77.16402,28.593374,,,,,,0,,,0
barapullah-road-flyover_265747902_0,Barapullah Road Flyover,Barapullah Road Flyover,trunk,0.198,77.221103,28.577582,,,,,,0,,,0
acharya-shri-tulsi-marg_266776805_0,Acharya Shri Tulsi Marg,Acharya Shri Tulsi Marg,trunk,1.06,77.120313,28.479291,,,,,,0,,,0
acharya-shri-tulsi-marg_266776805_1,Acharya Shri Tulsi Marg,Acharya Shri Tulsi Marg,trunk,1.054,77.127522,28.482163,,,,,,0,,,0
acharya-shri-tulsi-marg_266776805_2,Acharya Shri Tulsi Marg,Acharya Shri Tulsi Marg,trunk,1.012,77.135137,28.487683,,,,,,0,,,0
acharya-shri-tulsi-marg_266776805_3,Acharya Shri Tulsi Marg,Acharya Shri Tulsi Marg,trunk,1.003,77.146476,28.492706,,,,,,0,,,0
acharya-shri-tulsi-marg_266776805_4,Acharya Shri Tulsi Marg,Acharya Shri Tulsi Marg,trunk,1.03,77.156369,28.497061,,,,,,0,,,0
acharya-shri-tulsi-marg_266776805_5,Acharya Shri Tulsi Marg,Acharya Shri Tulsi Marg,trunk,1.02,77.167019,28.501835,,,,,,0,,,0
acharya-shri-tulsi-marg_266776805_6,Acharya Shri Tulsi Marg,Acharya Shri Tulsi Marg,trunk,0.369,77.172577,28.504132,,,,,,0,,,0
barapullah-road-flyover_287658616_0,Barapullah Road Flyover,Barapullah Road Flyover,trunk,0.084,77.22182,28.578696,,,,,,0,,,0
barapullah-road-flyover_287658618_0,Barapullah Road Flyover,Barapullah Road Flyover,trunk,0.045,77.222429,28.57932,,,,,,0,,,0
barapullah-road-flyover_287658619_0,Barapullah Road Flyover,Barapullah Road Flyover,trunk,0.522,77.225039,28.579903,,,,3,3,0,,,1
mehrauli-badarpur-road_287870802_0,Mehrauli Badarpur Road,Mehrauli Badarpur Road,primary,1.013,77.28398,28.502504,,,,,,5,0,0.0,1
mehrauli-badarpur-road_287870802_1,Mehrauli Badarpur Road,Mehrauli Badarpur Road,primary,0.77,77.293317,28.50122,,,,1,7,8,0,0.0,2
doctor-kb-hedgewar-marg_290137949_0,Doctor KB Hedgewar Marg,Outer Ring Road,trunk,1.057,77.227895,28.69062,,,,,,8,0,0.0,1
doctor-kb-hedgewar-marg_290137949_1,Doctor KB Hedgewar Marg,Outer Ring Road,trunk,0.746,77.22927,28.682004,,,,,,8,0,0.0,1
wazirabad-flyover_290137950_0,Wazirabad Flyover,Wazirabad Flyover,trunk,0.611,77.227008,28.710372,,,,,,0,,,0
wazirabad-flyover_290137952_0,Wazirabad Flyover,Wazirabad Flyover,trunk,0.566,77.227683,28.707874,,,,,,0,,,0
wazirabad-flyover_290137953_0,Wazirabad Flyover,Wazirabad Flyover,trunk,0.148,77.226611,28.713306,,,,,,0,,,0
doctor-kb-hedgewar-marg_290137957_0,Doctor KB Hedgewar Marg,Outer Ring Road,trunk,0.103,77.227838,28.70469,,,,,,0,,,0
unnamed_290681553_0,unnamed,unnamed,primary,0.114,77.086429,28.613502,,,,,,0,,,0
grand-trunk-road_293091496_0,Grand Trunk Road,Grand Trunk Road,trunk,0.32,77.154689,28.736788,,,,,,0,,,0
nh44_293091497_0,NH44,NH44,trunk,0.112,77.156109,28.734491,,,,,,0,,,0
nh248bb_293544334_0,NH248BB,NH248BB,trunk,0.083,77.057897,28.547243,,,,,,8,0,0.0,1
mahatma-gandhi-marg_297086687_0,Mahatma Gandhi Marg,Ring Road,trunk,0.541,77.23271,28.667558,,,,,,8,0,0.0,1
doctor-kailash-nath-katju-marg_300032966_0,Doctor Kailash Nath Katju Marg,Doctor Kailash Nath Katju Marg,primary,0.051,77.114088,28.735028,,,,,,0,,,0
doctor-kailash-nath-katju-marg_300032969_0,Doctor Kailash Nath Katju Marg,Doctor Kailash Nath Katju Marg,primary,0.064,77.114286,28.734892,,,,,,0,,,0
doctor-kailash-nath-katju-marg_300033523_0,Doctor Kailash Nath Katju Marg,Doctor Kailash Nath Katju Marg,primary,0.066,77.113342,28.73554,,,,,,0,,,0
doctor-kailash-nath-katju-marg_300033529_0,Doctor Kailash Nath Katju Marg,Doctor Kailash Nath Katju Marg,primary,0.506,77.111502,28.736802,,,,,,0,,,0
doctor-kailash-nath-katju-marg_300034120_0,Doctor Kailash Nath Katju Marg,Doctor Kailash Nath Katju Marg,primary,0.078,77.11311,28.735841,,,,,,0,,,0
doctor-kailash-nath-katju-marg_300034123_0,Doctor Kailash Nath Katju Marg,Doctor Kailash Nath Katju Marg,primary,1.072,77.128116,28.72545,,,,,,0,,,0
doctor-kailash-nath-katju-marg_300034123_1,Doctor Kailash Nath Katju Marg,Doctor Kailash Nath Katju Marg,primary,0.552,77.134955,28.720725,,,,2,2,0,,,1
ashram-railway-flyover_312031898_0,Ashram Railway Flyover,Ashram Railway Flyover,primary,0.027,77.256615,28.571172,,,,,,8,1,0.125,1
ashram-railway-flyover_312031900_0,Ashram Railway Flyover,Ashram Railway Flyover,primary,0.024,77.25653,28.571272,,,,,,8,0,0.0,1
mahatma-gandhi-marg_312031901_0,Mahatma Gandhi Marg,Ring Road,primary,0.058,77.256722,28.571397,,,,,,8,0,0.0,1
nelson-mandela-marg_312126316_0,Nelson Mandela Marg,Nelson Mandela Marg,primary,0.653,77.163599,28.549896,,,,,,0,,,0
nelson-mandela-marg_312126317_0,Nelson Mandela Marg,Nelson Mandela Marg,primary,0.262,77.165086,28.551715,,,,,,0,,,0
nelson-mandela-marg_312126319_0,Nelson Mandela Marg,Nelson Mandela Marg,primary,1.153,77.156966,28.540723,,,,,,0,,,0
nelson-mandela-marg_312126319_1,Nelson Mandela Marg,Nelson Mandela Marg,primary,0.629,77.152354,28.534573,,,,,,0,,,0
unnamed_312126635_0,unnamed,unnamed,primary,0.325,77.165823,28.552568,,,,,,0,,,0
nelson-mandela-marg_312127509_0,Nelson Mandela Marg,Nelson Mandela Marg,primary,0.242,77.162465,28.548118,,,,1,5,0,,,1
dwarka-expressway_313488529_0,Dwarka Expressway,Dwarka Expressway,trunk,0.384,77.037551,28.539353,,,,,,0,,,0
abdul-gaffar-khan-marg_313541230_0,Abdul Gaffar Khan Marg,Abdul Gaffar Khan Marg,primary,0.28,77.160561,28.517618,,,,,,0,,,0
unnamed_313905499_0,unnamed,unnamed,primary,0.031,77.083859,28.610642,,,,,,0,,,0
dabri-dwarka-road_313905500_0,Dabri Dwarka Road,Dabri Dwarka Road,primary,1.004,77.082059,28.6104,,,,,,0,,,0
dabri-dwarka-road_313905500_1,Dabri Dwarka Road,Dabri Dwarka Road,primary,0.653,77.071853,28.603933,,,,,,8,0,0.0,1
najafgarh-nangloi-road_314926685_0,Najafgarh Nangloi Road,Najafgarh Nangloi Road,primary,1.135,77.002657,28.633732,,,,,,0,,,0
najafgarh-nangloi-road_314926685_1,Najafgarh Nangloi Road,Najafgarh Nangloi Road,primary,0.047,77.008254,28.63874,,,,,,0,,,0
najafgarh-nangloi-road_314926687_0,Najafgarh Nangloi Road,Najafgarh Nangloi Road,primary,1.096,77.00431,28.635198,,,,,,0,,,0
najafgarh-nangloi-road_314926687_1,Najafgarh Nangloi Road,Najafgarh Nangloi Road,primary,0.085,77.000016,28.631139,,,,,,0,,,0
dichaon-road_317513933_0,Dichaon Road,Dichaon Road,primary,0.219,76.983748,28.615696,,,,,,0,,,0
urban-extension-road-ii_358642618_0,Urban Extension Road-II,Urban Extension Road-II,trunk,1.017,77.116938,28.806571,,,,,,0,,,0
urban-extension-road-ii_358642618_1,Urban Extension Road-II,Urban Extension Road-II,trunk,0.519,77.1261,28.80864,,,,,,0,,,0
nh344m_358642619_0,NH344M,NH344M,trunk,0.884,77.106973,28.804407,,,,,,0,,,0
nh344m_358642620_0,NH344M,NH344M,trunk,0.882,77.101332,28.802767,,,,,,0,,,0
urban-extension-road-ii_358642621_0,Urban Extension Road-II,Urban Extension Road-II,trunk,1.069,77.076032,28.792585,,,,,,0,,,0
urban-extension-road-ii_358642621_1,Urban Extension Road-II,Urban Extension Road-II,trunk,0.244,77.080434,28.794972,,,,,,0,,,0
urban-extension-road-ii_358642622_0,Urban Extension Road-II,Urban Extension Road-II,trunk,1.013,77.07676,28.793083,,,,,,0,,,0
urban-extension-road-ii_358642622_1,Urban Extension Road-II,Urban Extension Road-II,trunk,0.293,77.072756,28.786986,,,,,,0,,,0
doctor-kb-hedgewar-marg_361729387_0,Doctor KB Hedgewar Marg,Outer Ring Road,primary,0.184,77.22748,28.708943,,,,,,0,,,0
shalimar-bagh-flyover_364876214_0,Shalimar Bagh Flyover,Shalimar Bagh Flyover,primary,1.206,77.165106,28.702126,1,10,5,1,1,0,,,2
