sno,road,location,dates,frequency
83,Mother Teresa Crescent Marg,"Infront of Gate No. 31, R.P. Bhawan",02.09.2021,1
84,Mother Teresa Crescent Road,Near 11 Murti,01.09.2021,1
85,Mother Teresa Crescent Road,Near RML Hospital roundabout,11.09.2021,1
86,Mother Teresa Crescent Road,Near RML U-Turn,01.09.2021,1
87,Mother Teresa Crescent Road,Near roundabout Teen Murti,01.09.2021,1
88,Mother Teresa Crescent Road,Redlight Sardar Patel Marg towards Ram Manohar Lohia Hospital,13.07.2021,1
89,Moti Lal Nehru Marg,Q-Point Moti Lal Nehru Marg,31.08.2021,1
90,Mubarakpur Road,Nangloi Railway Phatak to Mubarakpur village,19.07.2021,1
91,Najafgarh – Bahadurgarh Road,From Firni Road Najafgarh upto PTS Jharoda Kalan,19.07.2021,1
92,Najafgarh – Bijwasan Road,Near CISF Camp,11.09.2021,1
93,Najafgarh – Bijwasan Road,Near Golak Dham Bijwasan,01.09.2021,1
94,Najafgarh – Bijwasan Road,Near Indian Oil Corporation,11.09.2021,1
95,Najafgarh – Bijwasan Road,Under Bijwasan Flyover,13.07.2021,1
96,Najafgarh Firni Road,Firni Road,19.07.2021,1
97,Najafgarh Road,Near Moti Nagar Chowk,11.09.2021,1
98,Najafgarh Road,Near Vishal Chowk,01.09.2021,1
99,Najafgarh Road,Ramesh Nagar towards Raja Garden both carriageway,01.09.2021,1
100,Najafgarh Road,Zakhira underpass,14.07.2021 01.08.2021 31.08.2021 01.09.2021 11.09.2021,5
