segment_id,road,way_id,highway,km,mid_lon,mid_lat
khelgaon-flyover_77363924_0,Khelgaon Flyover,77363924,primary,0.513,77.209291,28.543491
outer-ring-road_77363925_0,Outer Ring Road,77363925,primary,0.434,77.244948,28.543886
iit-flyover_77363928_0,IIT Flyover,77363928,primary,0.559,77.201006,28.544766
ho-chi-minh-marg_77363931_0,Ho Chi Minh Marg,77363931,primary,0.666,77.221395,28.542447
chirag-delhi-flyover_77363934_0,Chirag Delhi Flyover,77363934,primary,0.645,77.231051,28.541638
rao-tula-ram-marg_77363936_0,Rao Tula Ram Marg,77363936,primary,1.024,77.159146,28.57537
rao-tula-ram-marg_77363936_1,Rao Tula Ram Marg,77363936,primary,0.575,77.151937,28.574095
nehru-place-flyover_77363937_0,Nehru Place Flyover,77363937,primary,0.129,77.252181,28.54681
yakshini-chowk-underpass_77363938_0,Yakshini Chowk Underpass,77363938,primary,0.101,77.121033,28.573583
nehru-place-flyover_77363939_0,Nehru Place Flyover,77363939,primary,0.392,77.250989,28.546315
ho-chi-minh-marg_77363941_0,Ho Chi Minh Marg,77363941,primary,0.249,77.236249,28.540625
chirag-delhi-flyover_77363942_0,Chirag Delhi Flyover,77363942,primary,0.649,77.231641,28.541653
ho-chi-minh-marg_77363948_0,Ho Chi Minh Marg,77363948,primary,0.258,77.23662,28.540836
unnamed_77363957_0,unnamed,77363957,primary,0.856,77.137515,28.572293
savitri-flyover_77363963_0,Savitri Flyover,77363963,primary,0.439,77.240636,28.542351
yakshini-chowk-underpass_77363979_0,Yakshini Chowk Underpass,77363979,primary,0.346,77.12181,28.570618
aurobindo-marg_77363987_0,Aurobindo Marg,77363987,trunk,0.013,77.19747,28.536441
unnamed_77363988_0,unnamed,77363988,primary,0.436,77.143834,28.576938
nehru-place-flyover_77363989_0,Nehru Place Flyover,77363989,primary,0.391,77.247352,28.544832
yakshini-chowk-underpass_77363992_0,Yakshini Chowk Underpass,77363992,primary,0.106,77.121131,28.573609
iit-flyover_77363994_0,IIT Flyover,77363994,primary,0.557,77.202969,28.54413
unnamed_77363998_0,unnamed,77363998,primary,0.188,77.143545,28.575182
ulan-batar-road_77364007_0,Ulan Batar Road,77364007,primary,0.614,77.132029,28.569046
rao-tula-ram-marg_77364013_0,Rao Tula Ram Marg,77364013,primary,1.205,77.150781,28.574463
rao-tula-ram-marg_77364013_1,Rao Tula Ram Marg,77364013,primary,0.834,77.159634,28.575343
khelgaon-flyover_77364016_0,Khelgaon Flyover,77364016,primary,0.512,77.209847,28.543355
khelgaon-flyover_77364024_0,Khelgaon Flyover,77364024,primary,0.041,77.212272,28.543262
unnamed_77364025_0,unnamed,77364025,primary,0.382,77.144814,28.575424
khelgaon-flyover_77364029_0,Khelgaon Flyover,77364029,primary,0.035,77.206453,28.543636
ring-road_77617172_0,Ring Road,77617172,trunk,1.083,77.243402,28.662398
ring-road_77617172_1,Ring Road,77617172,trunk,0.071,77.248303,28.658465
unnamed_77617192_0,unnamed,77617192,primary,0.05,77.223759,28.667987
mahatma-gandhi-marg_77617232_0,Mahatma Gandhi Marg,77617232,trunk,0.264,77.238372,28.6624
azadpur-flyover_77629868_0,Azadpur Flyover,77629868,primary,0.08,77.174444,28.708253
azadpur-flyover_77629874_0,Azadpur Flyover,77629874,primary,0.548,77.177676,28.711056
mahatma-gandhi-marg_77629878_0,Mahatma Gandhi Marg,77629878,primary,0.028,77.209512,28.697112
mahatma-gandhi-marg_77629881_0,Mahatma Gandhi Marg,77629881,primary,0.533,77.195645,28.70206
doctor-kb-hedgewar-marg_77629882_0,Doctor KB Hedgewar Marg,77629882,trunk,0.38,77.161767,28.737675
mall-road_77629887_0,Mall Road,77629887,primary,0.563,77.204563,28.698961
arihant-marg_77629890_0,Arihant Marg,77629890,primary,1.071,77.180475,28.714748
arihant-marg_77629890_1,Arihant Marg,77629890,primary,0.167,77.18245,28.722646
mahatma-gandhi-road_77629892_0,Mahatma Gandhi Road,77629892,primary,0.021,77.174071,28.707968
mahatma-gandhi-marg_77629895_0,Mahatma Gandhi Marg,77629895,primary,0.047,77.179107,28.707754
shalimar-bagh-flyover_77629896_0,Shalimar Bagh Flyover,77629896,primary,1.005,77.171222,28.704445
shalimar-bagh-flyover_77629896_1,Shalimar Bagh Flyover,77629896,primary,0.459,77.159126,28.700264
mahatma-gandhi-road_77629899_0,Mahatma Gandhi Road,77629899,primary,0.109,77.17394,28.707815
mahatma-gandhi-marg_77629903_0,Mahatma Gandhi Marg,77629903,primary,0.899,77.204791,28.698708
grand-trunk-road_77629904_0,Grand Trunk Road,77629904,trunk,1.422,77.145515,28.7653
grand-trunk-road_77629904_1,Grand Trunk Road,77629904,trunk,0.742,77.144399,28.768766
mahatma-gandhi-road_77629911_0,Mahatma Gandhi Road,77629911,primary,0.06,77.220902,28.692272
outer-ring-road_77629920_0,Outer Ring Road,77629920,trunk,0.146,77.152181,28.732428
outer-ring-road_77629923_0,Outer Ring Road,77629923,trunk,0.101,77.150559,28.731362
mahatma-gandhi-road_77629925_0,Mahatma Gandhi Road,77629925,primary,0.072,77.173387,28.706933
nh44_77629927_0,NH44,77629927,trunk,0.088,77.155725,28.735271
azadpur-flyover_77629928_0,Azadpur Flyover,77629928,primary,0.548,77.177344,28.711006
mahatma-gandhi-marg_77629932_0,Mahatma Gandhi Marg,77629932,primary,0.044,77.208839,28.697235
nh44_77629936_0,NH44,77629936,trunk,0.089,77.155107,28.73587
mahatma-gandhi-marg_77629937_0,Mahatma Gandhi Marg,77629937,primary,0.741,77.213499,28.695595
outer-ring-road_77629941_0,Outer Ring Road,77629941,trunk,0.103,77.151305,28.732013
mahatma-gandhi-marg_77629944_0,Mahatma Gandhi Marg,77629944,primary,1.045,77.215484,28.694724
mahatma-gandhi-marg_77629944_1,Mahatma Gandhi Marg,77629944,primary,0.016,77.210585,28.696592
