segment_id,cv_images,cv_detections,cv_damage_per_frame
unnamed_77363988_0,8,1,0.125
unnamed_77363998_0,8,0,0.0
unnamed_77364025_0,6,0,0.0
urban-extension-road-ii_1116285354_0,8,1,0.125
urban-extension-road-ii_1116285355_0,8,0,0.0
urban-extension-road-ii_1118476443_0,8,0,0.0
urban-extension-road-ii_1118959400_0,8,0,0.0
urban-extension-road-ii_1118959401_0,8,1,0.125
urban-extension-road-ii_1118959402_0,8,2,0.25
urban-extension-road-ii_1118959403_0,8,3,0.375
urban-extension-road-ii_1288469182_0,7,1,0.1429
urban-extension-road-ii_1353593171_0,8,1,0.125
urban-extension-road-ii_1353593174_0,3,0,0.0
urban-extension-road-ii_1430444831_0,3,1,0.3333
urban-extension-road-ii_1430444832_0,1,0,0.0
urban-extension-road-ii_1430444833_0,4,0,0.0
vikas-marg_447130904_0,3,0,0.0
vikas-marg_691886474_0,2,1,0.5
vikas-marg_691886475_0,2,0,0.0
vikas-marg_691886476_0,2,0,0.0
vikas-marg_70255388_0,3,1,0.3333
vikas-marg_70255391_0,2,1,0.5
vikas-marg_984685372_0,2,0,0.0
yakshini-chowk-underpass_47290501_0,2,0,0.0
